,Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
0, National,2011-1,191.3,81383.0,148152.0,691812.0,98.0,0.9576658839999733
1, National,2011-2,186.2,87044.0,149741.0,716324.0,102.0,0.9578962370709306
2, National,2011-3,189.1,121624.0,202144.0,732336.0,100.0,0.9522207487350516
3, National,2011-4,191.8,123251.0,194424.0,748671.0,92.0,0.959564043640814
4, National,2011-5,196.9,131570.0,191523.0,758476.0,84.0,0.9620088468573909
5, National,2011-6,206.5,148682.0,187710.0,757027.0,78.0,0.9633683199323777
6, National,2011-7,204.7,132049.0,166008.0,744594.0,78.0,0.9634111388610614
7, National,2011-8,200.7,141199.0,165863.0,723168.0,81.0,0.9624584646029326
8, National,2011-9,194.9,125612.0,150193.0,703079.0,84.0,0.9511393670119478
9, National,2011-10,188.9,114621.0,144578.0,680965.0,87.0,0.960198981871979
10, National,2011-11,192.8,110067.0,123059.0,648403.0,88.0,0.961242892476904
11, National,2011-12,190.6,119333.0,99637.0,598032.0,90.0,0.9529708166394271
12, National,2012-1,180.7,91811.0,150081.0,599378.0,91.0,0.9524668654757577
13, National,2012-2,181.0,103371.0,163013.0,616769.0,94.0,0.9603223915193779
14, National,2012-3,192.5,133305.0,198297.0,627515.0,90.0,0.9607663025292253
15, National,2012-4,201.9,137107.0,195165.0,642242.0,78.0,0.9673200645125696
16, National,2012-5,209.7,157036.0,195771.0,643492.0,69.0,0.9714468572394392
17, National,2012-6,219.7,164866.0,185227.0,639440.0,64.0,0.9665343256087955
18, National,2012-7,217.6,153783.0,173975.0,629196.0,65.0,0.9616048634297182
19, National,2012-8,215.6,164517.0,171607.0,613404.0,67.0,0.9720848675227218
20, National,2012-9,211.5,131549.0,151509.0,598461.0,69.0,0.9721768565427619
21, National,2012-10,209.8,141927.0,153973.0,573756.0,70.0,0.9713523503949326
22, National,2012-11,214.5,133390.0,122598.0,539771.0,71.0,0.9685944135377651
23, National,2012-12,217.4,131773.0,94136.0,498377.0,74.0,0.9634810602985563
24, National,2013-1,201.0,106435.0,155079.0,507304.0,78.0,0.9703979953134931
25, National,2013-2,204.7,114141.0,166719.0,535565.0,77.0,0.9713903695586128
26, National,2013-3,218.8,148368.0,201404.0,548824.0,72.0,0.9676220594418811
27, National,2013-4,228.8,162761.0,227764.0,575853.0,60.0,0.9751531335412531
28, National,2013-5,238.2,187863.0,236704.0,598685.0,53.0,0.9811326893400724
