,Month,Avg_Seasonality_Median_Price,Avg_Seasonality_Home_Sold,City
0,01,90.05,53.99, National
1,02,89.36,57.24, National
2,03,92.72,77.01, National
3,04,95.04,81.35, National
4,05,97.18,93.68, National
5,06,100.0,100.0, National
6,07,98.73,94.14, National
7,08,97.28,94.03, National
8,09,94.62,80.13, National
9,10,93.55,78.98, National
10,11,93.9,69.92, National
11,12,93.89,73.15, National
12,01,87.87,43.47,"Austin, TX"
13,02,90.66,55.74,"Austin, TX"
14,03,93.47,75.3,"Austin, TX"
15,04,98.63,83.01,"Austin, TX"
16,05,99.94,95.41,"Austin, TX"
17,06,100.0,100.0,"Austin, TX"
18,07,98.65,90.37,"Austin, TX"
19,08,96.1,86.69,"Austin, TX"
20,09,92.19,70.54,"Austin, TX"
21,10,92.62,67.61,"Austin, TX"
22,11,92.04,60.11,"Austin, TX"
23,12,92.49,69.36,"Austin, TX"
24,01,81.46,51.1,"Baltimore, MD"
25,02,84.23,55.87,"Baltimore, MD"
26,03,87.57,74.02,"Baltimore, MD"
27,04,90.99,79.41,"Baltimore, MD"
28,05,96.23,86.47,"Baltimore, MD"
29,06,100.0,100.0,"Baltimore, MD"
30,07,97.5,85.9,"Baltimore, MD"
31,08,96.23,83.71,"Baltimore, MD"
32,09,91.87,68.52,"Baltimore, MD"
33,10,88.95,75.22,"Baltimore, MD"
34,11,86.27,67.86,"Baltimore, MD"
35,12,89.7,78.56,"Baltimore, MD"
36,01,85.74,43.37,"Boston, MA"
37,02,80.95,32.44,"Boston, MA"
38,03,83.68,43.37,"Boston, MA"
39,04,86.77,53.69,"Boston, MA"
40,05,93.3,70.17,"Boston, MA"
41,06,100.0,100.0,"Boston, MA"
42,07,98.18,86.39,"Boston, MA"
43,08,96.19,77.72,"Boston, MA"
44,09,86.37,55.64,"Boston, MA"
45,10,86.92,55.3,"Boston, MA"
46,11,88.79,60.98,"Boston, MA"
47,12,87.19,62.46,"Boston, MA"
48,01,83.47,52.17,"Charlotte, NC"
49,02,85.61,53.95,"Charlotte, NC"
50,03,93.59,75.69,"Charlotte, NC"
51,04,93.51,80.81,"Charlotte, NC"
52,05,96.21,91.77,"Charlotte, NC"
53,06,100.0,100.0,"Charlotte, NC"
54,07,94.39,87.63,"Charlotte, NC"
55,08,91.37,89.39,"Charlotte, NC"
56,09,87.43,76.26,"Charlotte, NC"
57,10,87.28,72.85,"Charlotte, NC"
58,11,88.1,63.1,"Charlotte, NC"
59,12,88.73,70.27,"Charlotte, NC"
60,01,75.6,58.54,"Chicago, IL"
61,02,73.56,58.07,"Chicago, IL"
62,03,84.22,76.19,"Chicago, IL"
63,04,88.57,83.44,"Chicago, IL"
64,05,93.96,91.84,"Chicago, IL"
65,06,100.0,100.0,"Chicago, IL"
66,07,94.82,91.04,"Chicago, IL"
67,08,93.09,92.36,"Chicago, IL"
68,09,89.89,81.44,"Chicago, IL"
69,10,84.6,80.67,"Chicago, IL"
70,11,85.55,72.42,"Chicago, IL"
71,12,83.41,78.84,"Chicago, IL"
72,01,,,"Colorado Springs, CO"
73,02,,,"Colorado Springs, CO"
74,03,,,"Colorado Springs, CO"
75,04,,,"Colorado Springs, CO"
76,05,,,"Colorado Springs, CO"
77,06,,,"Colorado Springs, CO"
78,07,,,"Colorado Springs, CO"
79,08,,,"Colorado Springs, CO"
80,09,,,"Colorado Springs, CO"
81,10,,,"Colorado Springs, CO"
82,11,,,"Colorado Springs, CO"
83,12,,,"Colorado Springs, CO"
84,01,83.34,49.94,"Columbus, OH"
85,02,85.18,52.73,"Columbus, OH"
86,03,89.11,75.6,"Columbus, OH"
87,04,92.62,80.64,"Columbus, OH"
88,05,99.37,92.55,"Columbus, OH"
89,06,100.0,100.0,"Columbus, OH"
90,07,98.79,96.47,"Columbus, OH"
91,08,94.17,94.76,"Columbus, OH"
92,09,93.35,81.13,"Columbus, OH"
93,10,88.26,78.89,"Columbus, OH"
94,11,87.21,69.09,"Columbus, OH"
95,12,86.91,71.36,"Columbus, OH"
96,01,74.8,50.59,"Dallas, TX"
97,02,84.32,62.62,"Dallas, TX"
98,03,92.19,87.13,"Dallas, TX"
99,04,98.52,89.06,"Dallas, TX"
100,05,100.0,100.0,"Dallas, TX"
101,06,99.55,98.74,"Dallas, TX"
102,07,98.41,87.91,"Dallas, TX"
103,08,92.79,86.7,"Dallas, TX"
104,09,87.99,74.39,"Dallas, TX"
105,10,82.84,73.46,"Dallas, TX"
106,11,84.02,68.02,"Dallas, TX"
107,12,91.39,76.35,"Dallas, TX"
108,01,86.53,50.43,"Denver, CO"
109,02,90.41,56.51,"Denver, CO"
110,03,94.76,76.88,"Denver, CO"
111,04,100.0,86.81,"Denver, CO"
112,05,99.92,96.51,"Denver, CO"
113,06,99.48,100.0,"Denver, CO"
114,07,97.79,92.74,"Denver, CO"
115,08,93.42,91.03,"Denver, CO"
116,09,91.61,78.28,"Denver, CO"
117,10,92.63,79.8,"Denver, CO"
118,11,90.68,71.1,"Denver, CO"
119,12,87.83,71.77,"Denver, CO"
120,01,97.04,70.55,"Las Vegas, NV"
121,02,97.66,73.35,"Las Vegas, NV"
122,03,97.94,95.71,"Las Vegas, NV"
123,04,99.0,92.18,"Las Vegas, NV"
124,05,99.34,96.58,"Las Vegas, NV"
125,06,100.0,100.0,"Las Vegas, NV"
126,07,99.3,92.62,"Las Vegas, NV"
127,08,99.71,92.82,"Las Vegas, NV"
128,09,99.92,83.39,"Las Vegas, NV"
129,10,98.39,82.18,"Las Vegas, NV"
130,11,98.27,75.12,"Las Vegas, NV"
131,12,97.58,83.15,"Las Vegas, NV"
132,01,91.34,65.89,"Los Angeles, CA"
133,02,93.69,63.86,"Los Angeles, CA"
134,03,96.32,85.99,"Los Angeles, CA"
135,04,98.35,89.03,"Los Angeles, CA"
136,05,98.15,95.42,"Los Angeles, CA"
