Name,Lon,Lat,NBHD_ID,NBRHD_NAME,Type
7-Eleven,-104.871739,39.65441,32,Hampden,Food Store
Dos Cunados,-104.870051,39.653775,32,Hampden,Food Store
Conoco/Circle K,-104.912999,39.65444,32,Hampden,Food Store
Diamond Shamrock,-104.907417,39.653467,32,Hampden,Food Store
Shell,-104.904028,39.653532,32,Hampden,Food Store
Twin Star Energy,-104.887317,39.653527,32,Hampden,Food Store
Safeway,-104.913291,39.666283,32,Hampden,Food Store
Target,-104.900178,39.654964,32,Hampden,Food Store
Safeway Fuel,-104.912977,39.66699,32,Hampden,Food Store
First Avenue Market,-104.99238,39.718495,3,Baker,Food Store
La Tiendita,-104.996832,39.722832,3,Baker,Food Store
Sunrise Foods,-104.993653,39.722832,3,Baker,Food Store
7-Eleven,-104.998948,39.721191,3,Baker,Food Store
7-Eleven,-104.987987,39.721292,3,Baker,Food Store
7-Eleven,-104.989619,39.711488,3,Baker,Food Store
Barn Store,-104.98798,39.711519,3,Baker,Food Store
Dollar Tree,-104.987624,39.709042,3,Baker,Food Store
Albertsons,-104.987652,39.710492,3,Baker,Food Store
Colorado Nut Company,-104.999843,39.716841,3,Baker,Food Store
Denver Urban Homesteading,-104.99827,39.719566,3,Baker,Food Store
Lamar's Donuts,-104.99955,39.725465,3,Baker,Food Store
Sams Club,-104.98769,39.707349,3,Baker,Food Store
1st Avenue Market,-104.99238,39.718495,3,Baker,Food Store
Kmart,-104.987659,39.70987,3,Baker,Food Store
Diamond Shamrock,-104.973077,39.710888,70,Washington Park,Food Store
Fooducopia,-104.964217,39.700323,70,Washington Park,Food Store
7-Eleven,-104.95793,39.725418,13,Cherry Creek,Food Store
Rite Aid,-104.951081,39.7174,13,Cherry Creek,Food Store
Continental's Deli,-104.949465,39.720399,13,Cherry Creek,Food Store
Whole Foods,-104.956783,39.718799,13,Cherry Creek,Food Store
Duke's Corner Store,-104.954959,39.719513,13,Cherry Creek,Food Store
Penzeys Spices,-104.953099,39.719793,13,Cherry Creek,Food Store
Truffle,-104.953133,39.725492,13,Cherry Creek,Food Store
Safeway,-104.950737,39.717035,13,Cherry Creek,Food Store
Oliver's Meat Market,-104.966604,39.725452,22,Country Club,Food Store
7-Eleven,-104.959429,39.764762,17,Clayton,Food Store
Sahara Mini Market,-104.956798,39.764601,17,Clayton,Food Store
Tommy's Market,-104.950766,39.764627,17,Clayton,Food Store
7-Eleven,-104.940962,39.765392,17,Clayton,Food Store
Walgreen,-104.940927,39.766607,17,Clayton,Food Store
A Mart Store,-104.943475,39.771949,17,Clayton,Food Store
Ben's Super Market,-104.959544,39.757175,55,Skyland,Food Store
Frank's Food Mart,-104.946272,39.757102,55,Skyland,Food Store
7-Eleven,-104.972977,39.745014,15,City Park West,Food Store
7-Eleven,-104.963824,39.740284,15,City Park West,Food Store
Namaste International Grcrs,-104.971789,39.740388,15,City Park West,Food Store
Sinclair,-104.965101,39.740322,15,City Park West,Food Store
7-Eleven,-104.967562,39.743477,15,City Park West,Food Store
7-Eleven,-104.97501,39.733512,9,Capitol Hill,Food Store
7-Eleven,-104.975104,39.73986,9,Capitol Hill,Food Store
Capitol Hill Market,-104.979001,39.739775,9,Capitol Hill,Food Store
City Store,-104.987263,39.733915,9,Capitol Hill,Food Store
Jack Market,-104.980646,39.73984,9,Capitol Hill,Food Store
Zak Market,-104.981487,39.739734,9,Capitol Hill,Food Store
King Soopers,-104.973777,39.731541,9,Capitol Hill,Food Store
Whole Foods,-104.975844,39.733266,9,Capitol Hill,Food Store
Tony's Market,-104.987018,39.73136,9,Capitol Hill,Food Store
Capitol Convenience,-104.979761,39.737014,9,Capitol Hill,Food Store
7-Eleven,-104.980399,39.740145,47,North Capitol Hill,Food Store
7-Eleven,-104.979603,39.743017,47,North Capitol Hill,Food Store
Russell's,-104.986656,39.74284,47,North Capitol Hill,Food Store
Russell's,-104.986921,39.743585,47,North Capitol Hill,Food Store
Russell's,-104.985175,39.744538,47,North Capitol Hill,Food Store
Russell's,-104.986766,39.741336,47,North Capitol Hill,Food Store
Uptown Market,-104.981423,39.746987,47,North Capitol Hill,Food Store
Urban Express,-104.986729,39.741231,47,North Capitol Hill,Food Store
Marczyk Fine Foods,-104.977918,39.742991,47,North Capitol Hill,Food Store
7-Eleven,-104.982516,39.74315,47,North Capitol Hill,Food Store
Diamond Shamrock,-104.98785,39.732328,16,Civic Center,Food Store
7-Eleven,-104.989095,39.741721,10,CBD,Food Store
7-Eleven,-104.992022,39.747771,10,CBD,Food Store
7-Eleven,-104.989584,39.743376,10,CBD,Food Store
7-Eleven,-104.99371,39.750461,10,CBD,Food Store
7-Eleven,-104.989758,39.746194,10,CBD,Food Store
7-Eleven,-104.993922,39.746143,10,CBD,Food Store
Russell's,-104.994687,39.74809,10,CBD,Food Store
Russell's,-104.990262,39.740486,10,CBD,Food Store
Russell's,-104.990622,39.747101,10,CBD,Food Store
Russell's,-104.990386,39.745491,10,CBD,Food Store
Russell's,-104.99134,39.749204,10,CBD,Food Store
Russell's,-104.987861,39.742529,10,CBD,Food Store
Russell's,-104.989585,39.747508,10,CBD,Food Store
Pushupati Corner Store,-104.991535,39.741172,10,CBD,Food Store
Rite Aid,-104.993106,39.745407,10,CBD,Food Store
Cook's Fresh Market,-104.989781,39.744014,10,CBD,Food Store
Walgreen,-104.993056,39.746037,10,CBD,Food Store
Dollars & Sense,-104.989647,39.743513,10,CBD,Food Store
7-Eleven,-104.99707,39.746428,10,CBD,Food Store
Russell's,-104.988776,39.742805,10,CBD,Food Store
7-Eleven,-104.997217,39.752063,63,Union Station,Food Store
Market Snacks,-104.998179,39.750697,63,Union Station,Food Store
Pacific Mercantile Co,-104.992754,39.751698,63,Union Station,Food Store
Russell's,-104.99591,39.74921,63,Union Station,Food Store
Sunlite Convenience Store,-104.993522,39.75126,63,Union Station,Food Store
King Soopers,-104.998956,39.757235,63,Union Station,Food Store
Evoo Marketplace,-104.999479,39.748768,63,Union Station,Food Store
Smith & Truslow,-105.001562,39.749801,63,Union Station,Food Store
The Market @ Larimer,-104.999087,39.74809,63,Union Station,Food Store
Champa Food Store,-104.977033,39.759424,26,Five Points,Food Store
Champa Food Store,-104.977033,39.759424,26,Five Points,Food Store
Five Points Market,-104.977683,39.755231,26,Five Points,Food Store
Front Range Markets,-104.989862,39.756794,26,Five Points,Food Store
Hello Mini Mart,-104.982364,39.757936,26,Five Points,Food Store
Town Grocery,-104.97361,39.757411,26,Five Points,Food Store
Conoco,-104.984551,39.766533,26,Five Points,Food Store
Mondo Market,-104.979796,39.76874,26,Five Points,Food Store
Safeway,-104.977536,39.748966,26,Five Points,Food Store
Amerigo Delicatus,-104.987022,39.757512,26,Five Points,Food Store
Larimer St Market,-104.991637,39.753889,26,Five Points,Food Store
Meathead,-104.979796,39.76874,26,Five Points,Food Store
Tres Rios Agricultural Co-Op,-104.989948,39.761875,26,Five Points,Food Store
Americanum Provisions,-104.979796,39.76874,26,Five Points,Food Store
7-Eleven,-104.886451,39.747738,60,Stapleton,Food Store
7-Eleven,-104.865153,39.77248,60,Stapleton,Food Store
Conoco,-104.847512,39.770745,60,Stapleton,Food Store
Diamond Shamrock,-104.846578,39.770191,60,Stapleton,Food Store
Walgreen,-104.902524,39.759686,60,Stapleton,Food Store
Target,-104.894589,39.78544,60,Stapleton,Food Store
King Soopers,-104.901847,39.7566,60,Stapleton,Food Store
Euro Cafe and Market,-104.892648,39.779735,60,Stapleton,Food Store
Sams Club,-104.898098,39.76627,60,Stapleton,Food Store
Walmart,-104.901246,39.770642,60,Stapleton,Food Store
Salwan Market,-105.01316,39.762273,36,Highland,Food Store
7-Eleven,-105.017813,39.769035,36,Highland,Food Store
Conoco,-105.016183,39.756716,36,Highland,Food Store
Leever's / Save A Lot,-105.019624,39.768842,36,Highland,Food Store
Variety Supermarket,-105.002814,39.765758,36,Highland,Food Store
Rosales Bakery,-105.019742,39.761908,36,Highland,Food Store
Savory Spice Shop,-105.008749,39.757215,36,Highland,Food Store
Sara Grocery & Laundry,-105.002609,39.769106,36,Highland,Food Store
