NBHD_ID,NBRHD_NAME,Intersects,Area_SqM,FoodStores,Malls,Libraries,StLights,Colleges,K12s,Crimes,TrAccident,ParkA_SqM,TreesA_SqM,Marijuana,MedianSalePrice_2019
32,Hampden,450,7314464,9,0,1,796,3,2,6402,2600,1047824,739139,2,470000
3,Baker,249,3863325,15,1,0,1128,1,4,4925,3361,52068,235123,11,566060
70,Washington Park,188,3912493,2,0,0,775,1,3,2086,1120,702982,1005887,0,977572
13,Cherry Creek,134,2167299,8,1,1,1011,1,2,3545,1570,79887,244055,0,1850000
22,Country Club,121,1681934,1,0,0,269,0,0,716,370,10767,642922,0,1164000
17,Clayton,116,1996181,6,0,0,457,0,10,2707,539,51368,212846,0,453750
55,Skyland,122,1977220,2,0,0,401,0,4,1056,298,581587,187359,0,491500
15,City Park West,82,1364640,5,0,0,715,1,3,7976,1989,5455,227988,1,663000
9,Capitol Hill,104,1751939,10,0,1,884,5,4,8615,3041,16765,275760,3,937500
47,North Capitol Hill,64,913158,10,0,0,635,1,2,13427,2401,3418,73863,1,0
16,Civic Center,55,787103,1,0,0,659,2,3,6378,1333,42958,74995,1,0
10,CBD,82,1116520,20,0,0,1525,7,2,14277,2586,23125,20702,2,0
63,Union Station,75,1136280,9,1,0,1466,3,0,8313,1981,88930,20018,3,0
26,Five Points,320,4574752,14,0,1,2434,1,9,24612,5275,98694,267596,9,659000
60,Stapleton,1020,23266052,10,1,1,4667,0,13,14656,5706,2095593,464503,1,669425
36,Highland,227,2985941,8,0,0,1208,2,13,5947,3587,125150,366522,4,672550
29,Globeville,335,5334981,6,0,0,1113,1,2,4264,3109,223402,213219,5,250000
66,University Park,186,3011039,3,0,0,389,1,5,1849,1017,136352,698864,1,875000
21,Cory - Merrill,125,2173214,5,1,0,311,6,4,1288,1032,0,381351,0,690000
71,Washington Park West,155,2260167,2,0,0,619,0,2,2534,1762,0,461996,0,715000
59,Speer,148,2211857,8,0,1,931,0,2,5470,2833,27085,420428,1,642500
20,Congress Park,205,2665751,4,0,0,722,1,4,2282,1416,120127,592381,2,749900
18,Cole,89,1326342,10,1,0,450,0,7,3212,593,19158,155974,1,513000
62,Sunnyside,277,3687701,9,0,0,1109,2,11,4943,1566,74825,541894,2,529500
54,Ruby Hill,190,3760501,7,0,0,535,0,3,4817,1326,546930,407572,3,332000
64,University,175,3227708,5,0,0,428,1,4,1981,772,34534,663093,1,532500
30,Goldsmith,139,2003278,11,0,0,215,1,2,1828,416,88494,226318,2,475000
69,Virginia Village,296,5031371,10,0,1,575,3,4,4456,2928,208737,854905,0,481000
65,University Hills,208,3759264,6,2,1,441,1,6,2825,1247,167730,392248,4,460000
74,West Colfax,174,2599787,8,0,1,634,1,6,7177,1226,149673,314292,2,507500
75,West Highland,191,2907698,11,0,1,829,0,4,2452,771,40565,527020,2,640000
58,Southmoor Park,177,2413833,3,1,0,286,0,1,1072,230,19024,141257,0,610000
24,East Colfax,173,2769303,10,0,0,686,1,2,9227,1646,60325,543392,1,351750
53,Rosedale,65,1460006,2,0,0,245,1,3,887,210,306346,259477,1,522500
14,City Park,82,1990327,5,0,0,790,1,1,2496,1258,1284285,354004,1,610000
42,Lowry Field,370,6679637,3,0,1,982,1,11,2694,1426,1222001,125275,0,804000
35,Harvey Park South,188,3543005,3,1,1,383,2,3,2655,809,55692,640378,0,407000
28,Gateway / Green Valley Ranch,1133,19067807,9,0,1,2174,0,17,7901,2448,1216812,385496,0,358500
5,Barnum West,150,1874741,2,0,0,352,0,6,2045,636,56188,243375,0,320000
46,Montclair,202,2622262,10,0,0,488,1,5,1355,690,48520,675559,8,559500
51,Platt Park,127,2119595,3,0,1,528,0,4,2589,920,15081,434335,15,635000
43,Mar Lee,225,3904348,14,2,1,528,1,9,3505,1029,237703,536481,2,327500
76,Westwood,252,3876489,20,0,1,774,1,9,6558,1210,94539,386840,5,303200
72,Washington Virginia Vale,276,4736864,15,0,0,640,2,6,4026,1648,328359,621039,1,480000
68,Villa Park,157,2561101,6,0,0,518,0,4,4574,1397,309776,334564,0,355500
31,Hale,174,2520403,5,0,0,509,0,4,2216,1357,28598,465080,0,632500
48,North Park Hill,221,3870520,3,0,0,819,0,4,2209,642,2773,644997,0,520000
57,South Park Hill,289,3860445,8,0,1,845,1,5,3651,1789,1067,1052735,0,710000
40,Kennedy,12,1818677,1,0,0,85,0,0,771,132,1413183,69124,0,0
19,College View / South Platte,110,3771950,13,0,0,351,0,5,5225,1272,96808,305281,0,311500
33,Hampden South,724,7541189,10,0,0,1109,2,3,3305,2694,434602,632434,1,522500
49,Northeast Park Hill,343,8626011,6,0,1,1265,1,5,5790,3008,99240,393169,0,400000
25,Elyria Swansea,410,6719812,13,0,1,1433,0,2,5011,2494,109808,356224,0,277500
50,Overland,156,2908403,4,0,0,584,0,0,1816,878,704220,224468,1,379500
12,Cheesman Park,88,1364095,4,0,0,467,1,2,2637,908,405111,354716,1,835000
37,Hilltop,311,4463348,2,0,0,542,0,7,1615,1396,326114,1026441,1,1037500
41,Lincoln Park,225,3305164,10,0,1,1106,2,9,5095,4013,128817,205142,2,444000
2,Auraria,115,1671830,2,0,0,766,3,1,4018,1787,74765,60235,0,0
7,Belcaro,199,3017623,4,1,1,370,0,2,888,604,102322,695941,2,975000
78,Windsor,460,4427400,2,0,0,307,1,0,2393,718,138112,458578,0,0
56,Sloan Lake,196,3624258,6,0,0,743,0,3,2809,501,1169511,483322,0,617000
8,Berkeley,221,3879902,9,0,1,970,0,3,3117,1168,574995,740549,0,585000
52,Regis,151,2636550,2,0,0,414,2,0,1342,526,618629,497910,1,490000
61,Sun Valley,102,1663603,4,0,0,739,0,4,4548,1729,96038,52620,0,0
73,Wellshire,134,2404996,0,0,0,208,0,1,312,51,541938,425749,0,682000
39,Jefferson Park,114,1274179,3,1,0,523,0,4,2143,1241,87556,113472,1,550000
67,Valverde,133,2486693,6,0,0,405,0,3,5106,1537,128530,153571,1,331667
1,Athmar Park,208,4003200,17,2,1,588,2,6,5470,1651,290012,397291,6,340750
11,Chaffee Park,114,2036111,7,1,0,451,0,1,2700,1443,52889,274904,0,372000
34,Harvey Park,202,4365889,9,2,0,531,0,7,3129,738,99075,743189,0,355000
4,Barnum,129,1998180,5,0,1,433,0,1,3875,864,164780,237357,2,310000
77,Whittier,102,1458476,4,0,1,548,0,5,2398,471,47483,221889,0,576000
45,Montbello,699,13110197,10,0,1,1567,3,24,11951,4835,448489,975794,3,328000
44,Marston,379,8209961,7,0,0,591,1,1,1752,371,202013,426090,1,400000
27,Fort Logan,277,6874421,1,0,0,594,0,3,1361,210,506632,1059853,1,425000
6,Bear Valley,176,3502159,5,0,0,338,2,3,2167,296,327099,717605,0,419500
