,SALE_YEAR,NBHD_ID,Last_Year_Price,Median_Neighbor_Last_Year_Price,SALE_PRICE
18,2020,1,340750.0,331666.5,360426.4498559222
37,2020,3,566060.0,411750.0,565293.9841068997
56,2020,4,310000.0,331666.5,335218.9080306399
75,2020,5,320000.0,310000.0,337960.0581251551
94,2020,6,419500.0,407000.0,443954.1057632368
113,2020,7,975000.0,1037500.0,1058112.547392654
132,2020,8,585000.0,529500.0,610473.9869017696
151,2020,9,937500.0,749000.0,954716.6932300006
170,2020,11,372000.0,509750.0,430891.86936628993
189,2020,12,835000.0,749900.0,870918.207034396
208,2020,13,1850000.0,976285.75,1759984.315136588
227,2020,14,610000.0,647750.0,660747.6383471685
246,2020,15,663000.0,659000.0,707027.9488820441
265,2020,17,453750.0,502250.0,496018.26468591666
284,2020,18,513000.0,491500.0,541881.6472382117
303,2020,19,311500.0,355000.0,342324.780834584
322,2020,20,749900.0,772500.0,806848.3616227508
341,2020,21,690000.0,703750.0,740431.1021126516
360,2020,22,1164000.0,937500.0,1187863.0155704622
379,2020,24,351750.0,669425.0,454503.8399842596
398,2020,25,277500.0,453750.0,339321.92246368196
417,2020,26,659000.0,544500.0,674913.5924740462
436,2020,27,425000.0,407000.0,448462.77178076695
455,2020,28,358500.0,328000.0,374053.78468792915
474,2020,29,250000.0,529500.0,335855.23856129585
493,2020,30,475000.0,470000.0,505316.37020762503
512,2020,31,632500.0,729950.0,699893.1754224428
531,2020,32,470000.0,498750.0,508457.89417739504
550,2020,33,522500.0,470000.0,544254.849449931
569,2020,34,355000.0,332000.0,372191.9812392118
588,2020,35,407000.0,387250.0,428733.358503175
607,2020,36,672550.0,585000.0,696220.7010164666
626,2020,37,1037500.0,749900.0,1036919.0922252794
645,2020,39,550000.0,628500.0,606714.3303014692
664,2020,41,444000.0,566060.0,504095.3429130453
683,2020,42,804000.0,519750.0,787545.4602402095
702,2020,43,327500.0,332000.0,349648.651151561
721,2020,44,400000.0,425000.0,432501.89977751096
740,2020,45,328000.0,513962.5,395883.40422347997
759,2020,46,559500.0,710000.0,635026.7345868819
778,2020,48,520000.0,491500.0,547619.949442341
797,2020,49,400000.0,491500.0,449249.05451441003
